Gr Liv Area,Overall Qual,Year Built,SalePrice
1656,6,1960,215000
896,5,1961,105000
1329,6,1958,172000
2110,7,1968,244000
1629,5,1997,189900
1604,6,1998,195500
1338,8,2001,213500
1280,8,1992,191500
1616,8,1995,236500
1804,7,1999,189000
1655,6,1993,175900
1187,6,1992,185000
1465,6,1998,180400
1341,7,1990,171500
1502,8,1985,212000
3279,8,2003,538000
1752,8,1988,164000
1856,9,2010,394432
864,4,1951,141000
2073,6,1978,210000
1844,6,1977,190000
1173,7,1974,170000
1674,7,2000,216000
1004,6,1970,149000
1078,5,1971,149900
1056,5,1968,142000
882,4,1970,126000
864,4,1971,115000
1337,7,1999,184000
987,6,1971,96000
1092,5,1971,105500
1092,6,1971,88000
1069,6,1977,127500
1456,6,1975,149900
836,7,1975,120000
1456,6,1978,146000
2334,9,2009,376162
1704,8,2007,306000
1940,9,2009,395192
1544,8,2009,290941
1541,7,2005,220000
1698,9,2005,275000
1822,8,2005,259000
1535,7,2004,214000
2364,9,2009,611657
1358,7,2009,224000
2696,9,2003,500000
2250,8,2002,320000
1752,9,2005,319900
1370,8,2006,205000
1626,7,2003,175500
1324,6,2005,199500
1145,7,2006,160000
1269,8,2004,192000
1374,7,2004,184500
1960,6,2002,216500
1733,7,2004,185088
1430,7,2000,180000
2035,7,2001,222500
2599,9,1999,333168
2475,8,1998,355000
1720,7,1996,260400
2622,8,1994,325000
2270,8,1999,290000
1839,7,1998,221000
3238,8,1995,410000
1595,8,2005,221500
1218,7,2009,204500
1547,7,2009,215200
1566,8,2008,262500
1947,7,2004,254900
1468,6,2005,271500
2084,7,2004,233000
1659,7,2004,181000
2110,7,1994,205000
923,6,1980,143000
1845,6,1992,189000
918,6,1979,99500
752,6,1984,125000
1744,7,1993,194500
1097,6,1984,152000
1564,6,1980,171000
1012,5,1920,67500
1902,6,1978,112000
1155,5,1961,148000
894,5,1965,138500
900,5,1967,122000
1040,5,1963,133000
1040,5,1962,127000
1494,6,1974,169000
1923,7,1992,190000
2349,8,1993,362500
2225,8,1992,285000
1488,7,2004,260000
1680,7,2004,190000
1200,7,2004,155000
1200,7,2004,151000
1200,7,2004,149500
1236,6,2005,152000
1478,7,2009,222000
1573,6,2000,177500
1512,6,2000,177000
1416,7,1999,155000
1080,7,2003,147110
1418,8,2010,267916
1848,8,2000,254000
788,8,1980,155000
1226,8,1978,206000
1479,6,1976,130500
1492,7,2002,230000
1829,6,1967,218500
2495,6,1993,243500
1610,6,1977,205000
1891,6,1978,212500
1714,7,1988,196500
1381,6,1972,197500
1645,6,1971,171000
1232,5,1966,142250
1328,6,1963,143000
1225,4,1959,128950
1209,5,1966,159000
1510,5,1967,178900
1775,6,1964,136300
1152,5,1964,180500
1054,6,1963,137500
1728,5,1962,84900
1078,5,1950,142125
2461,5,1952,197600
1556,6,1949,172500
858,5,1958,116500
1306,3,1940,76500
1063,5,1954,128000
1520,6,1955,153000
1268,5,1954,132000
1128,6,1966,178000
2274,5,1960,154300
2207,7,1970,180000
1888,6,1966,190000
1604,5,1958,135000
1480,7,2003,214000
1143,5,1959,136000
1700,5,1959,165500
1314,5,1957,145000
1194,6,1959,148000
1188,5,1959,142000
1264,5,1960,167500
1206,5,1959,108538
1580,6,1959,159500
1337,4,1956,108000
1064,5,1952,135000
972,5,1955,122500
988,5,1958,119000
1057,5,1953,109000
985,4,1920,105000
827,5,1955,107500
1086,5,1954,144900
936,5,1956,129000
1458,6,1948,97500
1056,6,1980,144000
1287,5,1959,162000
2978,7,1967,242000
1224,6,1948,132000
1246,5,1959,154000
1385,5,1952,166000
900,5,1951,134800
1116,6,1962,160000
1175,5,1960,148000
1395,6,1963,192000
1839,6,1966,155000
1844,4,1900,80400
1140,4,1910,96500
936,5,1920,109500
1028,5,1927,115000
1347,5,1957,143000
1605,3,1915,107400
747,4,1945,80000
804,5,1940,119000
1316,5,1929,130000
1251,6,1938,119000
1633,5,1948,129000
1245,5,1920,100000
832,2,1923,12789
720,6,1928,105900
1566,8,1900,150000
1652,5,1915,139000
2268,8,1890,240000
2256,5,1910,76500
1236,6,1957,149700
1363,4,1910,125500
2290,4,1885,122500
1470,6,1922,140750
1612,5,1950,128500
2068,7,1922,209500
765,4,1925,87000
1132,6,1939,134000
1196,6,1940,128000
1453,5,1942,132000
1416,6,1948,139900
1040,5,1936,123900
1536,5,1930,138400
1068,6,1923,109500
1710,7,1921,140000
1962,4,1915,149500
1560,6,1912,159900
1324,6,1920,122000
816,5,1963,110000
1092,4,1930,55000
1812,5,1900,140000
2403,7,1940,244400
1675,5,1959,173000
1224,5,1917,107500
1392,5,1915,100000
919,6,1940,95000
1884,4,1907,93369
1680,5,1910,114900
1020,5,1875,94000
1832,4,1967,136000
1768,4,1968,136500
1039,5,1965,131500
1392,5,1957,121500
912,5,1967,125000
1060,5,1968,154000
892,5,1966,137900
1352,6,1969,158000
864,5,1968,137250
1373,5,1978,160250
1440,5,1968,163000
1386,6,1978,158900
2260,7,1996,328000
1483,7,1977,270000
756,4,1927,85000
1067,4,1950,128000
1524,7,1979,260000
1981,6,1978,230000
1610,3,1938,124000
835,5,1920,83000
1074,6,1950,144500
1144,5,1956,129000
1531,4,1947,127000
1172,5,1954,128000
1212,6,2009,186000
1508,7,2009,308030
1298,5,1964,114000
930,4,1946,84900
1732,6,1985,178000
1433,7,1987,270000
1802,6,1993,218000
1949,7,1993,236000
996,6,1992,147000
1694,8,2008,245350
1208,7,2006,206000
1226,7,2009,198900
1222,7,2010,187000
3222,7,1990,320000
1445,6,1900,138500
1052,6,1971,155000
965,5,1996,159000
1692,7,1997,191000
1682,6,1998,200500
1026,5,1977,150000
1392,6,1977,161750
894,5,1976,128200
876,5,1972,127000
1978,8,2003,318000
1601,8,2001,272000
1829,7,2003,237000
2098,7,1997,240000
1661,7,1998,224900
848,6,2003,143750
848,6,2004,143000
1668,8,2003,232000
1484,7,2004,213000
1414,7,2004,185500
640,3,1945,84900
992,5,1954,155891
1664,5,1965,100000
1196,5,1968,144000
1120,4,1948,64000
1096,6,1975,125200
1117,6,1976,107000
960,4,1958,90000
1121,4,2003,140000
1487,6,1945,113000
924,4,1941,80000
1526,5,1957,144500
1296,5,1924,104000
1647,6,1915,128000
864,3,1914,58500
1691,5,1924,127000
856,6,1939,126000
2650,4,1967,160000
1666,5,1931,100000
2447,6,1919,169000
2133,7,1941,257500
2177,5,1950,215000
2340,7,1941,266500
1902,7,1959,335000
1652,7,1994,203135
1034,8,1989,185000
1191,8,1989,162500
1801,7,1959,289000
